name_long,name_short,skl_code,county,muni_group,fa_region,neighbours
Härjedalens kommun,Härjedalen,2361,Jämtlands län,Varuproducerande kommuner,Oskarshamn,"Orsa,Berg,Älvdalen,Mora,Ånge,Ljusdal"
Härnösands kommun,Härnösand,2280,Västernorrlands län,Varuproducerande kommuner,Kalmar,"Timrå,Sundsvall,Kramfors,Sollefteå"
Härryda kommun,Härryda,1401,Västra Götalands län,Större städer,Kalmar,"Mölndal,Göteborg,Partille,Mark,Bollebygd,Kungsbacka,Lerum"
Hässleholms kommun,Hässleholm,1293,Skåne län,Varuproducerande kommuner,Kalmar,"Kristianstad,Höör,Hörby,Perstorp,Örkelljunga,Klippan,Östra Göinge,Osby,Älmhult,Markaryd"
Heby kommun,Heby,0331,Uppsala län,Varuproducerande kommuner,Oskarshamn,"Tierp,Uppsala,Enköping,Sala,Gävle,Sandviken,Avesta"
Hedemora kommun,Hedemora,2083,Dalarnas län,Kommuner i tätbefolkad region,Västervik,"Smedjebacken,Norberg,Hofors,Avesta,Falun,Säter"
Helsingborgs stad,Helsingborg,1283,Skåne län,Varuproducerande kommuner,Vimmerby,"Bjuv,Svalöv,Landskrona,Åstorp,Ängelholm,Höganäs"
Herrljunga kommun,Herrljunga,1466,Västra Götalands län,Turism- och besöksnäringskommuner,Kalmar,"Borås,Vara,Vårgårda,Essunga,Ulricehamn,Falköping"
Hjo kommun,Hjo,1497,Västra Götalands län,Turism- och besöksnäringskommuner,Gotland,"Karlsborg,Tibro,Skövde,Tidaholm,Habo"
Hofors kommun,Hofors,2104,Gävleborgs län,Varuproducerande kommuner,Blekinge,"Sandviken,Avesta,Falun,Säter,Hedemora"
Höganäs kommun,Höganäs,1284,Skåne län,Större städer,Blekinge,Helsingborg
Högsby kommun,Högsby,0821,Kalmar län,Kommuner i tätbefolkad region,Blekinge,"Uppvidinge,Vetlanda,Oskarshamn,Nybro,Mönsterås,Hultsfred"
Höörs kommun,Höör,1267,Skåne län,Kommuner i tätbefolkad region,Blekinge,"Eslöv,Hässleholm,Hörby,Klippan"
Hörby kommun,Hörby,1266,Skåne län,Kommuner i tätbefolkad region,Kristianstad,"Eslöv,Hässleholm,Kristianstad,Tomelilla,Höör,Sjöbo"
Huddinge kommun,Huddinge,0126,Stockholms län,Pendlingskommuner,Malmö,"Botkyrka,Nacka,Stockholm,Tyresö,Haninge"
Hudiksvalls kommun,Hudiksvall,2184,Gävleborgs län,Förortskommuner till storstäderna,Malmö,"Ånge,Ljusdal,Nordanstig,Söderhamn,Bollnäs"
Hultsfreds kommun,Hultsfred,0860,Kalmar län,Förortskommuner till storstäderna,Malmö,"Uppvidinge,Eksjö,Vetlanda,Oskarshamn,Högsby,Vimmerby"
Hylte kommun,Hylte,1315,Hallands län,Förortskommuner till storstäderna,Malmö,"Falkenberg,Halmstad,Ljungby,Gislaved"
Järfälla kommun,Järfälla,0123,Stockholms län,Pendlingskommuner,Kristianstad,"Upplands Väsby,Upplands-Bro,Sollentuna,Stockholm"
Jokkmokks kommun,Jokkmokk,2510,Norrbottens län,Varuproducerande kommuner,Malmö,"Arvidsjaur,Boden,Älvsbyn,Gällivare,Arjeplog"
Jönköpings kommun,Jönköping,0680,Jönköpings län,Förortskommuner till större städer,Malmö,"Tranås,Ödeshög,Aneby,Ulricehamn,Tranemo,Nässjö,Vaggeryd,Gislaved,Mullsjö,Habo"
Kalix kommun,Kalix,2514,Norrbottens län,Förortskommuner till större städer,Malmö,"Luleå,Haparanda,Övertorneå,Överkalix"
Kalmar kommun,Kalmar,0880,Kalmar län,Förortskommuner till storstäderna,Malmö,"Emmaboda,Nybro,Mönsterås,Torsås"
Karlsborgs kommun,Karlsborg,1446,Västra Götalands län,Förortskommuner till storstäderna,Malmö,"Töreboda,Tibro,Hjo,Laxå,Askersund"
Karlshamns kommun,Karlshamn,1082,Blekinge län,Förortskommuner till storstäderna,Malmö,"Olofström,Sölvesborg,Ronneby,Tingsryd"
Karlskoga kommun,Karlskoga,1883,Örebro län,Förortskommuner till större städer,Malmö,"Lekeberg,Storfors,Kristinehamn,Degerfors,Nora,Hällefors,Örebro"
Karlskrona kommun,Karlskrona,1080,Blekinge län,Förortskommuner till större städer,Malmö,"Ronneby,Emmaboda,Torsås"
Karlstads kommun,Karlstad,1780,Värmlands län,Förortskommuner till större städer,Malmö,"Forshaga,Kil,Storfors,Grums,Kristinehamn,Hammarö,Hagfors,Filipstad"
Katrineholms kommun,Katrineholm,0483,Södermanlands län,Pendlingskommuner,Malmö,"Norrköping,Vingåker,Finspång,Eskilstuna,Flen,Nyköping"
Kävlinge kommun,Kävlinge,1261,Skåne län,Pendlingskommuner,Kristianstad,"Eslöv,Lomma,Lund,Svalöv,Landskrona"
Kils kommun,Kil,1715,Värmlands län,Pendlingskommuner,Älmhult,"Arvika,Sunne,Forshaga,Karlstad,Grums"
Kinda kommun,Kinda,0513,Östergötlands län,Varuproducerande kommuner,Malmö,"Vimmerby,Västervik,Åtvidaberg,Linköping,Boxholm,Ydre"
Kiruna kommun,Kiruna,2584,Norrbottens län,Pendlingskommuner,Malmö,"Gällivare,Pajala"
Klippans kommun,Klippan,1276,Skåne län,Förortskommuner till större städer,Malmö,"Eslöv,Hässleholm,Höör,Svalöv,Perstorp,Örkelljunga,Åstorp,Ängelholm"
Knivsta kommun,Knivsta,0330,Uppsala län,Turism- och besöksnäringskommuner,Malmö,"Sigtuna,Håbo,Uppsala,Norrtälje"
Köpings kommun,Köping,1983,Västmanlands län,Storstäder,Malmö,"Kungsör,Lindesberg,Skinnskatteberg,Arboga,Surahammar,Västerås,Hallstahammar"
Kramfors kommun,Kramfors,2282,Västernorrlands län,Större städer,Malmö,"Härnösand,Örnsköldsvik,Sollefteå"
Kristianstads kommun,Kristianstad,1290,Skåne län,Kommuner i tätbefolkad region,Malmö,"Hässleholm,Simrishamn,Tomelilla,Hörby,Olofström,Bromölla,Östra Göinge,Osby"
Kristinehamns kommun,Kristinehamn,1781,Värmlands län,Större städer,Malmö,"Karlstad,Storfors,Gullspång,Laxå,Degerfors,Karlskoga"
Krokoms kommun,Krokom,2309,Jämtlands län,Pendlingskommuner,Malmö,"Åre,Östersund,Strömsund"
Kumla kommun,Kumla,1881,Örebro län,Förortskommuner till större städer,Malmö,"Lekeberg,Örebro,Hallsberg"
Kungälvs kommun,Kungälv,1482,Västra Götalands län,Kommuner i tätbefolkad region,Malmö,"Stenungsund,Göteborg,Ale,Lilla Edet"
Kungsbacka kommun,Kungsbacka,1384,Hallands län,Pendlingskommuner,Malmö,"Mölndal,Göteborg,Mark,Varberg,Härryda"
Kungsörs kommun,Kungsör,1960,Västmanlands län,Större städer,Kristianstad,"Eskilstuna,Köping,Arboga"
Laholms kommun,Laholm,1381,Hallands län,Kommuner i tätbefolkad region,Malmö,"Örkelljunga,Ängelholm,Båstad,Halmstad,Ljungby,Markaryd"
Landskrona stad,Landskrona,1282,Skåne län,Pendlingskommuner,Malmö,"Kävlinge,Helsingborg,Svalöv"
Laxå kommun,Laxå,1860,Örebro län,Större städer,Kristianstad,"Lekeberg,Töreboda,Karlsborg,Kristinehamn,Gullspång,Degerfors,Hallsberg,Askersund"
Lekebergs kommun,Lekeberg,1814,Örebro län,Varuproducerande kommuner,Halmstad,"Laxå,Degerfors,Karlskoga,Kumla,Örebro,Hallsberg"
Leksands kommun,Leksand,2029,Dalarnas län,Större städer,Halmstad,"Rättvik,Mora,Vansbro,Gagnef,Falun,Borlänge"
Lerums kommun,Lerum,1441,Västra Götalands län,Kommuner i tätbefolkad region,Halmstad,"Göteborg,Partille,Bollebygd,Härryda,Alingsås,Ale"
Lessebo kommun,Lessebo,0761,Kronobergs län,Kommuner i tätbefolkad region,Halmstad,"Emmaboda,Uppvidinge,Tingsryd,Växjö,Nybro"
Lidingö stad,Lidingö,0186,Stockholms län,Större städer,Göteborg,"Nacka,Stockholm,Vaxholm,Danderyd"
Lidköpings kommun,Lidköping,1494,Västra Götalands län,Förortskommuner till storstäderna,Göteborg,"Götene,Skara,Vänersborg,Vara,Grästorp"
Lilla Edets kommun,Lilla Edet,1462,Västra Götalands län,Förortskommuner till storstäderna,Göteborg,"Stenungsund,Kungälv,Uddevalla,Vänersborg,Trollhättan,Ale"
Lindesbergs kommun,Lindesberg,1885,Örebro län,Förortskommuner till storstäderna,Göteborg,"Nora,Hällefors,Örebro,Ljusnarsberg,Smedjebacken,Skinnskatteberg,Köping,Arboga"
Linköpings kommun,Linköping,0580,Östergötlands län,Förortskommuner till storstäderna,Göteborg,"Söderköping,Åtvidaberg,Norrköping,Finspång,Motala,Mjölby,Boxholm,Kinda"
Ljungby kommun,Ljungby,0781,Kronobergs län,Pendlingskommuner,Göteborg,"Laholm,Hylte,Halmstad,Alvesta,Älmhult,Markaryd,Värnamo,Gislaved"
Ljusdals kommun,Ljusdal,2161,Gävleborgs län,Pendlingskommuner,Göteborg,"Orsa,Rättvik,Härjedalen,Ånge,Ovanåker,Nordanstig,Hudiksvall,Bollnäs"
Ljusnarsbergs kommun,Ljusnarsberg,1864,Örebro län,Pendlingskommuner,Göteborg,"Ludvika,Hällefors,Lindesberg,Smedjebacken"
Lomma kommun,Lomma,1262,Skåne län,Turism- och besöksnäringskommuner,Trollhättan,"Kävlinge,Burlöv,Staffanstorp,Lund,Malmö"
Ludvika kommun,Ludvika,2085,Dalarnas län,Pendlingskommuner,Trollhättan,"Hällefors,Vansbro,Filipstad,Gagnef,Ljusnarsberg,Smedjebacken,Borlänge,Säter"
Luleå kommun,Luleå,2580,Norrbottens län,Turism- och besöksnäringskommuner,Strömstad,"Piteå,Boden,Älvsbyn,Kalix,Överkalix"
Lunds kommun,Lund,1281,Skåne län,Glesbygdkommuner,Bengtsfors,"Trelleborg,Eslöv,Kävlinge,Lomma,Staffanstorp,Svedala,Sjöbo,Skurup"
Lycksele kommun,Lycksele,2481,Västerbottens län,Pendlingskommuner,Trollhättan,"Vindeln,Norsjö,Bjurholm,Malå,Sorsele,Storuman,Vilhelmina,Åsele"
Lysekils kommun,Lysekil,1484,Västra Götalands län,Förortskommuner till storstäderna,Göteborg,"Munkedal,Sotenäs,Uddevalla,Orust"
Malå kommun,Malå,2418,Västerbottens län,Förortskommuner till storstäderna,Göteborg,"Arvidsjaur,Norsjö,Lycksele,Sorsele"
Malmö stad,Malmö,1280,Skåne län,Pendlingskommuner,Göteborg,"Lomma,Burlöv,Staffanstorp,Svedala,Vellinge"
Malung-Sälens kommun,Malung-Sälen,2023,Dalarnas län,Förortskommuner till storstäderna,Göteborg,"Torsby,Älvdalen,Mora,Vansbro,Hagfors,Filipstad"
Mariestads kommun,Mariestad,1493,Västra Götalands län,Förortskommuner till större städer,Trollhättan,"Götene,Töreboda,Skövde,Gullspång"
Markaryds kommun,Mark,1463,Västra Götalands län,Pendlingskommuner,Göteborg,"Mölndal,Borås,Svenljunga,Falkenberg,Varberg,Bollebygd,Härryda,Kungsbacka"
Marks kommun,Markaryd,0767,Kronobergs län,Kommuner i tätbefolkad region,Skövde,"Hässleholm,Laholm,Örkelljunga,Osby,Ljungby,Älmhult"
Melleruds kommun,Mellerud,1461,Västra Götalands län,Varuproducerande kommuner,Skövde,"Åmål,Bengtsfors,Färgelanda,Vänersborg"
Mjölby kommun,Mjölby,0586,Östergötlands län,Varuproducerande kommuner,Värnamo,"Motala,Linköping,Boxholm,Vadstena,Ödeshög"
Mölndals stad,Mölndal,1481,Västra Götalands län,Varuproducerande kommuner,Bengtsfors,"Göteborg,Mark,Härryda,Kungsbacka"
Mönsterås kommun,Mönsterås,0861,Kalmar län,Kommuner i tätbefolkad region,Trollhättan,"Oskarshamn,Nybro,Kalmar,Högsby"
Mora kommun,Mora,2062,Dalarnas län,Förortskommuner till storstäderna,Göteborg,"Orsa,Rättvik,Leksand,Härjedalen,Älvdalen,Malung-Sälen,Vansbro"
Mörbylånga kommun,Mörbylånga,0840,Kalmar län,Kommuner i tätbefolkad region,Göteborg,Borgholm
Motala kommun,Motala,0583,Östergötlands län,Kommuner i tätbefolkad region,Borås,"Finspång,Mjölby,Linköping,Vadstena,Hallsberg,Askersund"
Mullsjö kommun,Mullsjö,0642,Jönköpings län,Varuproducerande kommuner,Göteborg,"Ulricehamn,Falköping,Tidaholm,Habo,Jönköping"
Munkedals kommun,Munkedal,1430,Västra Götalands län,Varuproducerande kommuner,Lidköping,"Tanum,Sotenäs,Uddevalla,Lysekil,Dals-Ed,Färgelanda"
Munkfors kommun,Munkfors,1762,Värmlands län,Varuproducerande kommuner,Lidköping,"Sunne,Forshaga,Hagfors"
Nacka kommun,Nacka,0182,Stockholms län,Pendlingskommuner,Skövde,"Lidingö,Stockholm,Värmdö,Tyresö,Huddinge"
Nässjö kommun,Nässjö,0682,Jönköpings län,Varuproducerande kommuner,Skövde,"Eksjö,Vetlanda,Aneby,Sävsjö,Vaggeryd,Jönköping"
Nora kommun,Nora,1884,Örebro län,Storstäder,Göteborg,"Karlskoga,Hällefors,Lindesberg,Örebro"
Norbergs kommun,Norberg,1962,Västmanlands län,Förortskommuner till storstäderna,Göteborg,"Smedjebacken,Fagersta,Sala,Avesta,Hedemora"
Nordanstigs kommun,Nordanstig,2132,Gävleborgs län,Förortskommuner till storstäderna,Göteborg,"Ånge,Ljusdal,Hudiksvall,Sundsvall"
Nordmalings kommun,Nordmaling,2401,Västerbottens län,Turism- och besöksnäringskommuner,Trollhättan,"Bjurholm,Örnsköldsvik,Umeå,Vännäs"
Norrköpings kommun,Norrköping,0581,Östergötlands län,Större städer,Trollhättan,"Söderköping,Finspång,Linköping,Katrineholm,Nyköping"
Norrtälje kommun,Norrtälje,0188,Stockholms län,Turism- och besöksnäringskommuner,Strömstad,"Östhammar,Vallentuna,Knivsta,Sigtuna,Uppsala,Österåker"
Norsjö kommun,Norsjö,2417,Västerbottens län,Pendlingskommuner,Trollhättan,"Arvidsjaur,Vindeln,Malå,Lycksele,Skellefteå"
Nybro kommun,Nybro,0881,Kalmar län,Större städer,Trollhättan,"Emmaboda,Lessebo,Uppvidinge,Kalmar,Mönsterås,Högsby"
Nyköpings kommun,Nyköping,0480,Södermanlands län,Pendlingskommuner,Göteborg,"Trosa,Norrköping,Flen,Katrineholm,Gnesta,Oxelösund"
Nykvarns kommun,Nykvarn,0140,Stockholms län,Större städer,Borås,"Strängnäs,Södertälje,Gnesta"
Nynäshamns kommun,Nynäshamn,0192,Stockholms län,Kommuner i tätbefolkad region,Borås,"Botkyrka,Haninge"
Ockelbo kommun,Ockelbo,2101,Gävleborgs län,Kommuner i tätbefolkad region,Karlstad,"Gävle,Sandviken,Falun,Söderhamn,Bollnäs"
Öckerö kommun,Öckerö,1407,Västra Götalands län,Kommuner i tätbefolkad region,Skövde,Göteborg
Ödeshögs kommun,Ödeshög,0509,Östergötlands län,Kommuner i tätbefolkad region,Lidköping,"Mjölby,Boxholm,Tranås,Vadstena,Jönköping"
Olofströms kommun,Olofström,1060,Blekinge län,Kommuner i tätbefolkad region,Skövde,"Kristianstad,Bromölla,Östra Göinge,Osby,Sölvesborg,Karlshamn,Tingsryd,Älmhult"
Örebro kommun,Örebro,1880,Örebro län,Större städer,Skövde,"Vingåker,Finspång,Lekeberg,Karlskoga,Nora,Kumla,Lindesberg,Hallsberg,Arboga"
Örkelljunga kommun,Örkelljunga,1257,Skåne län,Pendlingskommuner,Skövde,"Hässleholm,Laholm,Perstorp,Klippan,Ängelholm,Markaryd"
